user_id,movie_id,rating,lb_rating,difference
1,1,0.5,2.58,-2.08
1,2,3.5,3.25,0.25
1,3,3.0,3.01,-0.01
1,4,4.0,3.25,0.75
1,5,4.5,3.45,1.05
1,6,4.0,3.86,0.14
1,7,4.0,3.23,0.77
1,8,4.0,3.42,0.58
1,9,4.0,3.6,0.4
1,10,4.0,2.71,1.29
1,11,3.5,2.36,1.14
1,12,3.5,2.94,0.56
1,13,5.0,2.44,2.56
1,14,3.5,3.48,0.02
1,15,3.5,3.24,0.26
1,16,4.0,2.31,1.69
1,17,3.5,3.71,-0.21
1,18,5.0,3.35,1.65
1,19,3.5,2.88,0.62
1,20,3.5,3.81,-0.31
1,21,4.0,3.87,0.13
1,22,4.5,3.98,0.52
1,23,4.5,3.97,0.53
1,24,4.0,2.38,1.62
1,25,4.0,2.81,1.19
1,26,4.0,4.14,-0.14
1,27,4.0,3.4,0.6
1,28,5.0,2.08,2.92
1,29,3.0,3.79,-0.79
1,30,4.0,3.5,0.5
1,31,0.5,2.1,-1.6
1,32,5.0,3.69,1.31
1,33,4.0,3.77,0.23
1,34,4.5,3.71,0.79
1,35,3.5,3.5,0.0
1,36,3.5,2.96,0.54
1,37,4.0,3.73,0.27
1,38,5.0,3.75,1.25
1,39,2.5,3.87,-1.37
1,40,3.5,3.51,-0.01
2,41,3.0,3.99,-0.99
2,42,5.0,3.66,1.34
2,43,4.0,4.03,-0.03
2,44,2.5,3.54,-1.04
2,45,2.0,2.74,-0.74
2,46,4.5,4.05,0.45
2,47,3.5,4.16,-0.66
2,48,1.0,2.84,-1.84
2,49,3.0,3.58,-0.58
2,50,4.0,3.51,0.49
2,51,3.0,3.53,-0.53
2,52,0.5,2.39,-1.89
2,53,1.0,2.14,-1.14
2,54,2.5,3.55,-1.05
2,55,3.5,3.77,-0.27
2,56,3.5,4.2,-0.7
2,57,5.0,4.21,0.79
2,58,3.0,3.77,-0.77
2,59,0.5,2.63,-2.13
2,60,4.5,3.74,0.76
2,61,4.0,3.43,0.57
2,62,1.0,3.23,-2.23
2,63,2.0,3.8,-1.8
2,64,3.5,3.63,-0.13
2,65,3.0,4.14,-1.14
2,66,4.0,4.12,-0.12
2,67,3.5,4.05,-0.55
2,68,4.5,3.9,0.6
2,69,3.5,3.78,-0.28
2,70,4.5,4.32,0.18
2,71,4.0,3.99,0.01
2,72,3.0,4.2,-1.2
2,73,4.0,4.16,-0.16
2,74,2.0,3.25,-1.25
2,75,0.5,2.87,-2.37
2,76,5.0,3.91,1.09
2,77,5.0,4.58,0.42
2,78,3.0,3.88,-0.88
2,79,3.5,4.53,-1.03
2,80,3.0,2.88,0.12
2,81,4.5,4.54,-0.04
2,82,4.0,3.97,0.03
2,83,3.5,3.85,-0.35
2,84,2.0,2.99,-0.99
2,85,4.0,4.09,-0.09
2,86,4.0,3.86,0.14
2,87,1.0,3.23,-2.23
2,88,3.0,3.68,-0.68
2,89,2.5,3.09,-0.59
2,90,1.5,2.58,-1.08
